Varnummer;Namn;Underrubrik;Prisinklmoms;Volymiml;Saljstart;Varugrupp;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;Ekologisk;RavarorBeskrivning;fyllighet;stravhet;fruktsyra;druva;smak;doft
2260;El Rey;Old Vine Garnacha;79;750;2012-10-01;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;Campo de Borja;Spanien;Crianza y Viñedos Santo Cristo;Terrific Wines AB;2012;NA;14.5%;BS;0;;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
22620;Bonterra;Zinfandel;139;750;1999-09-06;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Kalifornien, North Coast, Mendocino County;USA;Bonterra Vineyards;Concha y Toro Sweden AB;2012;2012;14.5%;FS;1;Zinfandel.;8 ;7 ;9 ;Zinfandel;Mycket,fruktig,smak,fatkaraktär,inslag,blåbär,svartpeppar,mynta,björnbär,vanilj ;Mycket,fruktig,doft,fatkaraktär,inslag,blåbär,svartpeppar,mynta,björnbär,vanilj
2262;La Bastide Blanche;;149;750;2007-10-01;Rott vin, Stramt & Nyanserat;Flaska;Naturkork;Provence, Bandol;Frankrike;Earl Bronzo;Vinia Sweden AB;2012;2012;14.5%;FS;1;70% mourvèdre, 25% grenache, 3% cinsault och 2% carignan.;9 ;11;10;70%,mourvèdre,25%,grenache,cinsault,och,carignan;Nyanserad,stram,smak,fatkaraktär,inslag,mörka,eneträ,kaffe,kakao,rosmarin,lavendel ;Nyanserad,doft,fatkaraktär,inslag,mörka,eneträ,lavendel,choklad,rosmarin
22652;Navajas;Crianza;78;750;1997-07-21;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Rioja;Spanien;Bodegas Navajas;Viña Española AB;2010;2010;14%;FS;0;Tempranillo, garnacha och mazuelo.;8 ;8 ;9 ;Tempranillo,garnacha,och,mazuelo;Kryddig,utvecklad,smak,fatkaraktär,inslag,mörka,körsbär,korinter,dill,kakao,vanilj ;Utvecklad,kryddig,doft,fatkaraktär,inslag,dill,mörka,körsbär,korinter,choklad,vanilj
22653;akesson;Terra dell'Oro Rosso;24;250;2009-03-26;Rott vin, Mjukt & Barigt;Papp;;;Italien;akesson Vin AB;Kiviks Musteri AB;NA;NA;13%;FS;0;;5 ;4 ;8 ;Ingen anged;Bärig,smak,inslag,muskot,körsbär ;Bärig,doft,inslag,muskot,körsbär
2266;Château la Reyne;Prestige;99;750;2007-10-01;Rott vin, Stramt & Nyanserat;Flaska;Naturkork;Frankrike sydvast, Cahors;Frankrike;Château La Reyne;Swedish Wine Cellar AB;2010;NA;14%;BS;0;;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
22662;Faustino VII;;77;750;1998-11-16;Rott vin, Kryddigt & Mustigt;Flaska;Skruvkapsyl;Rioja;Spanien;Faustino Martínez;Bibendum;2012;2012;13%;FS;0;Tempranillo 95%, mazuelo 5%;6 ;6 ;9 ;Ingen anged;Kryddig,smak,fatkaraktär,inslag,torkade,körsbär,choklad,vanilj,örter ;Kryddig,doft,fatkaraktär,inslag,torkade,körsbär,choklad,vanilj,örter
22662;Faustino VII;;43;375;1999-08-02;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Rioja;Spanien;Faustino Martínez;Bibendum;2012;2012;12.5%;FS;0;;6 ;6 ;9 ;Ingen anged;Kryddig,smak,fatkaraktär,inslag,torkade,körsbär,choklad,vanilj,örter ;Kryddig,doft,fatkaraktär,inslag,torkade,körsbär,choklad,vanilj,örter
22674;Viña Albali;Reserva;69;750;1998-12-07;Rott vin, Kryddigt & Mustigt;Flaska;Skruvkapsyl;Valdepeñas;Spanien;Felix Solis;Martin & Servera Aktiebolag;2010;2010;13%;FS;0;Tempranillo.;6 ;6 ;9 ;Tempranillo;Kryddig,utvecklad,smak,inslag,torkade,körsbär,nypon,lagerblad ;Kryddig,utvecklad,doft,inslag,torkade,körsbär,lagerblad,nypon
22679;Señorío de los Llanos;Gran Reserva;69;750;1999-01-04;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Valdepeñas;Spanien;Bodegas Vinartis;Prime Wine Sweden AB;2007;2007;13%;FS;0;Cencibel (tempranillo).;7 ;7 ;9 ;Cencibel,(tempranillo);Fruktig,smak,fatkaraktär,inslag,hallon,viol,lakrits,vanilj,choklad ;Fruktig,doft,fatkaraktär,inslag,hallon,viol,vanilj,choklad
2270;Le Bistro;Tina;69;750;2000-02-07;Rott vin, Mjukt & Barigt;Flaska;Skruvkapsyl;;Frankrike;Les Domaines Auriol;Giertz Vinimport AB;2013;2013;12.5%;FS;1;Merlot, carignan och syrah.;5 ;4 ;8 ;Merlot,carignan,och,syrah;Bärig,ungdomlig,smak,inslag,mörka,örter,lakrits ;Bärig,ungdomlig,doft,inslag,mörka,örter,lakrits
