"","nr","Artikelid","Varnummer","Namn","Namn2","Prisinklmoms","Pant","Volymiml","PrisPerLiter","Saljstart","Slutlev","Varugrupp","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Leverantor","Argang","Provadargang","Alkoholhalt","Sortiment","Ekologisk","Koscher","RavarorBeskrivning","fyllighet","stravhet","fruktsyra","druva","smak","doft","real_score"
"2456",539701,867544,5397,"L. A. Cetto","Petite Sirah",95,NA,750,126.67,"2014-12-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Baja California","Mexiko","Vinicola LA Cetto","Liquorama AB",2012,2012,"13.5%","FSN",0,0,"Petite sirah.","8 ","8 ","9 ","Petite,sirah","Ungdomlig.fruktig.aningen.rökig.smak.inslag.björnbär.svarta.vinbär.viol.örter.lakrits ","Ungdomlig.fruktig.aningen.rökig.doft.inslag.björnbär.körsbär.mynta.viol.lakrits",99
"2461",540801,3033,5408,"Beaujolais Royal","",69,NA,750,92,"1955-01-01",NA,"Rott vin, Mjukt & Barigt","Flaska","Skruvkapsyl","Bourgogne, Beaujolais","Frankrike","Dufouleur Frères","Arvid Nordquist Vin och Sprithandel",NA,NA,"12.5%","FS",0,0,"Gamay","3 ","3 ","9 ","Gamay","Bärig.örtig.smak.inslag.jordgubbar.hallon ","Bärig.örtig.doft.inslag.jordgubbar.hallon",99
"2462",540802,3034,5408,"Beaujolais Royal","",42,NA,375,112,"1955-01-01",NA,"Rott vin, Mjukt & Barigt","Flaska","Skruvkapsyl","Bourgogne, Beaujolais","Frankrike","Dufouleur Frères","Arvid Nordquist Vin och Sprithandel",NA,NA,"12.5%","FS",0,0,"Gamay","3 ","3 ","9 ","Gamay","Bärig.örtig.smak.inslag.jordgubbar.hallon ","Bärig.örtig.doft.inslag.jordgubbar.hallon",99
"2464",542101,3037,5421,"La Vignée","Pinot Noir",114,NA,750,152,"1955-09-01",NA,"Rott vin, Mjukt & Barigt","Flaska","Naturkork","Bourgogne","Frankrike","Bouchard Père & Fils","Bibendum",2013,2013,"12%","FS",0,0,"Pinot noir.","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"2465",542102,400735,5421,"La Vignée","Pinot Noir",69,NA,375,184,"2009-10-01",NA,"Rott vin, Mjukt & Barigt","Flaska","Naturkork","Bourgogne","Frankrike","Bouchard Père & Fils","Bibendum",2013,2013,"12.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"2468",544701,47739,5447,"Bourgogne","Cuvée Margot",149,NA,750,198.67,"2004-05-03",NA,"Rott vin, Mjukt & Barigt","Flaska","Naturkork","Bourgogne","Frankrike","Olivier Leflaive","Johan Lidby Vinhandel AB",2012,2012,"12.5%","FS",0,0,"Pinot noir.","5 ","5 ","10","Pinot,noir","Bärig.smak.inslag.körsbär.lingon.kryddor.muskot ","Nyanserad.bärig.doft.inslag.körsbär.blåbär.kryddor.muskot",99
"2470",546001,241539,5460,"Bourgogne Hautes Côtes de Nuits","Les Dames de Vergy",139,NA,750,185.33,"2007-04-02",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Bourgogne, Côte de Nuits, Hautes-Côtes de Nuits","Frankrike","Domaine Guyon","Prime Wine Sweden AB",2012,2012,"12.5%","FS",0,0,"Pinot noir.","5 ","5 ","10","Pinot,noir","Kryddig.nyanserad.smak.inslag.lingon.muskot.skogshallon ","Kryddig.nyanserad.doft.inslag.skogshallon.muskot.blåbär.örter",99
"2471",546101,540185,5461,"Mont-Redon","Réserve Rouge",105,NA,750,140,"2010-11-29",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Skruvkapsyl","Rhonedalen, Côtes du Rhône","Frankrike","Château Mont-Redon","Ward Wines AB",2013,2013,"13.5%","FS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"2472",546102,781454,5461,"Mont-Redon","Réserve",59,NA,375,157.33,"2013-09-02",NA,"Rott vin","Flaska","","Rhonedalen, Côtes du Rhône","Frankrike","Château Mont-Redon","Ward Wines AB",2013,NA,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"2473",547001,631019,5470,"Bourgogne","Vieilles Vignes de Pinot Noir Albert Bichot",109,NA,750,145.33,"2012-04-02",NA,"Rott vin, Mjukt & Barigt","Flaska","Skruvkapsyl","Bourgogne","Frankrike","Albert Bichot","Nigab",2012,2012,"12.5%","FS",0,0,"Pinot noir.","5 ","5 ","9 ","Pinot,noir","Kryddig.smak.inslag.hallon.lingon.muskot.örter ","Kryddig.doft.inslag.hallon.lingon.muskot.örter",99
"2474",547101,631704,5471,"Bourgogne Rouge","Cuvée Saint-Nicolas Patriarche",179,NA,750,238.67,"2012-04-02",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Bourgogne","Frankrike","Patriarche Père & Fils","Stockholm WineLab AB",2010,2010,"12.5%","FS",0,0,"Pinot noir.","6 ","6 ","10","Pinot,noir","Nyanserad.kryddig.smak.fatkaraktär.inslag.jordgubbar.plommon.lingon.choklad.vanilj ","Nyanserad.kryddig.doft.fatkaraktär.inslag.jordgubbar.plommon.choklad.sandelträ.muskot",99
"2476",547301,736078,5473,"Vosne-Romanée","Domaine Manuel Olivier",309,NA,750,412,"2013-06-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Bourgogne, Côte de Nuits, Vosne-Romanée","Frankrike","Domaine Manuel Olivier","Carovin AB",2011,2011,"13%","FS",0,0,"Pinot noir.","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
