nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning,fyllighet,stravhet,fruktsyra,smak,doft
1279701,15535,12797,Castillo de Gredos,Red Wine,55,NA,1000,55,1998-05-04,NA,"Rott vin, Mjukt & Barigt",Papp,,,Spanien,Bodegas Vinartis,Prime Wine Sweden AB,NA,NA,13%,FS,0,0,,3,3,8,brand.aningen karv.mogna.roda bar,aningen brand.syltig.mogna roda bar
1279708,22289,12797,Castillo de Gredos,Red Wine,129,NA,3000,43,2000-02-07,NA,"Rott vin, Mjukt & Barigt",Box,Vingtapp,,Spanien,Bodegas Vinartis,Prime Wine Sweden AB,NA,NA,13%,FS,0,0,,3,3,8,brand.aningen karv.mogna.roda bar,aningen brand.syltig.mogna roda bar
1279901,15635,12799,Muriel,Vendimia Seleccionada,69,NA,750,92,1998-06-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Bodegas Muriel,Giertz Vinimport AB,NA,NA,12.5%,FS,0,0,Tempranillo.,7,6,8,moget vin.fat.torkad frukt.vanilj,utvecklad.fat.torkad frukt.vanilj.lader
1280401,13077,12804,R�serve de la Condamine,,69,NA,750,92,1997-05-20,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Languedoc-Roussillon, Fitou",Frankrike,Mont Tauch,janake wine group AB,2013,2013,13%,FS,0,0,"Grenache, carignan och syrah.",7,7,9,fruktig.fat.blabar.slanbar.orter.lakrits,fruktig.fat.skogshallon.muskot.lakrits
1280801,14681,12808,JP Chenet,Cabernet-Syrah,59,NA,750,78.67,1998-01-05,NA,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,"Languedoc-Roussillon, VdP d'Oc",Frankrike,JP Chenet,Stellan Kramer AB,2013,2013,13%,FS,0,0,Cabernet sauvignon och syrah.,5,5,9,barig.skogsbar.vanilj.lakrits,barig.skogsbar.vanilj.orter
1280802,43233,12808,JP Chenet,Cabernet-Syrah,36,NA,375,96,2003-10-06,NA,"Rott vin, Mjukt & Barigt",Flaska,,"Languedoc-Roussillon, VdP d'Oc",Frankrike,JP Chenet,Stellan Kramer AB,2013,2013,13%,FS,0,0,Cabernet sauvignon och syrah.,5,5,9,barig.skogsbar.vanilj.lakrits,barig.skogsbar.vanilj.orter
1280804,17086,12808,JP Chenet,Cabernet-Syrah,26,NA,250,104,1999-01-01,NA,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,"Languedoc-Roussillon, VdP d'Oc",Frankrike,JP Chenet,Stellan Kramer AB,2013,2013,13%,FS,0,0,Cabernet sauvignon och syrah.,5,5,9,barig.skogsbar.vanilj.lakrits,barig.skogsbar.vanilj.orter
1280808,13473,12808,JP Chenet,Cabernet-Syrah,184,NA,3000,61.33,1997-07-07,NA,"Rott vin, Mjukt & Barigt",Box,Tryckknapp front,"Languedoc-Roussillon, VdP d'Oc",Frankrike,JP Chenet,Stellan Kramer AB,2013,2013,13%,FS,0,0,Cabernet sauvignon och syrah.,5,5,9,barig.skogsbar.vanilj.lakrits,barig.skogsbar.vanilj.orter
1289008,43331,12890,Cape Original,Shiraz Cabernet Sauvignon,189,NA,3000,63,2004-05-03,NA,"Rott vin, Mjukt & Barigt",Box,Vridtapp,Western Cape,Sydafrika,Origin Wine,Origin Nordic,2014,2014,13%,FS,1,0,60% shiraz och 40% cabernet sauvignon.,5,5,9,barig.blabar.bjornbar.lakrits.orter,barig.blabar.svarta vinbar.sotlakrits.orter
1298601,43321,12986,Graham Beck,Shiraz Cabernet Sauvignon,67,NA,750,89.33,2003-11-03,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Western Cape,Sydafrika,Graham Beck,Prime Wine Sweden AB,2012,2012,14.5%,FS,0,0,60% shiraz och 40% cabernet sauvignon.,8,7,9,mycket fruktig.fat.morka bar.rosmarin.peppar.choklad,mycket fruktig.aningen rokig.fat.morka bar.rosmarin.choklad
